Time (min),C (md.ft),Inj. P (psi)
815.01,95.7,21.2
816.01,96.99,21.2
817.01,96.57,21.2
818.01,96.08,21.2
819.01,96.75,21.2
820.01,96.88,21.4
821.01,97.18,21.2
822.01,95.51,21.2
823.01,96.77,21.2
824.01,95.9,21.2
825.01,95.04,21.2
826.01,95.99,21.4
827.01,95.7,21.2
828.01,97.67,21.4
829.01,95.41,21.2
830.01,96.01,21.2
831.01,96.55,21.2
832.01,97.05,21.2
833.01,97.04,21.4
834.01,97.69,21.2
835.01,93.78,21.2
836.01,95.75,21.2
837.01,97.14,21.2
838.01,96.1,21.2
839.01,95.14,21.2
840.01,95.45,21.2
841.01,94.14,21.2
842.01,95.32,21.2
843.01,94.99,21.4
844.01,96.45,21.2
845.01,93.26,21.2
846.01,98.13,21.2
847.01,97.16,21.2
848.01,95.92,21.2
849.01,94.97,21.2
850.01,97.21,21.2
851.01,95.7,21.2
852.01,95.87,21.2
853.01,99.31,21.2
854.01,96.8,21.2
855.01,97.37,21.2
856.01,96.35,21.2
857.01,96.87,21.2
858.01,95.23,21.2
859.01,95.55,21.2
860.01,96.12,21.2
861.01,96.69,21.2
862.01,96.77,21.2
863.01,98.04,21.2
864.01,95.31,21.2
865.01,98.18,21.2
866.01,96.6,21.2
867.01,95.55,21.2
868.01,93.91,21.2
869.01,98.25,21.2
870.01,97.08,21.2
871.01,99.17,21.2
872.01,97.34,21.2
873.01,96.56,21.2
874.01,96.57,21.2
875.01,97.49,21.2
876.01,96.13,21.2
877.01,93.21,21.2
878.01,92.95,21.2
879.01,93.13,21.2
880.01,92.85,21.2
881.01,93.1,21.2
882.01,94.56,21.2
883.01,93.55,21.2
884.01,95.55,21.2
885.01,93.51,21.2
886.01,91.88,21.2
887.01,94.05,21.2
888.01,94.21,21.2
889.01,93.79,21.2
890.01,93.03,21.2
891.01,93.23,21.2
892.01,96.48,21.2
893.01,94.09,21.2
894.01,93.93,21.2
895.01,90.98,21.2
896.01,92.98,21.2
897.01,94.97,21.2
898.01,97.32,21.2
899.01,94.96,21.2
900.01,96.47,21.2
901.01,95.03,21.2
902.01,95.41,21.2
903.01,95.28,21.2
904.01,93.96,21.2
905.01,95.71,21.2
906.01,94.81,21.2
907.01,96.42,21.2
908.01,95.26,21.2
909.01,96.53,21.2
910.01,94.7,21.2
911.01,94.56,21.2
912.01,95.01,21.2
913.01,95.14,21.2
914.01,94.25,21.2
915.01,93.43,21
916.01,94.66,21.2
917.01,95.04,21.2
918.01,94.59,21.2
919.01,95.3,21.2
920.01,94.03,21.2
921.01,93.89,21.2
922.01,94.23,21.2
923.01,93.79,21
924.01,92.62,21.2
925.01,94.45,21.2
